"time","snowdepth"
"01.01.2014",4
"02.01.2014",18
"03.01.2014",18
"04.01.2014",16
"05.01.2014",15
"06.01.2014",4
"07.01.2014",4
"08.01.2014",0
"09.01.2014",4
"10.01.2014",6
"11.01.2014",0
"12.01.2014",6
"13.01.2014",4
"14.01.2014",4
"15.01.2014",4
"16.01.2014",4
"17.01.2014",4
"18.01.2014",8
"19.01.2014",10
"20.01.2014",10
"21.01.2014",12
"22.01.2014",12
"23.01.2014",8
"24.01.2014",6
"25.01.2014",6
"26.01.2014",6
"27.01.2014",6
"28.01.2014",5
"29.01.2014",5
"30.01.2014",5
"31.01.2014",5
"01.02.2014",5
"02.02.2014",5
"03.02.2014",5
"04.02.2014",5
"05.02.2014",5
"06.02.2014",5
"07.02.2014",5
"08.02.2014",5
"09.02.2014",5
"10.02.2014",5
"11.02.2014",5
"12.02.2014",5
"13.02.2014",4
"14.02.2014",4
"15.02.2014",4
"16.02.2014",3
"17.02.2014",3
"18.02.2014",3
"19.02.2014",3
"20.02.2014",3
"21.02.2014",3
"22.02.2014",3
"23.02.2014",3
"24.02.2014",3
"25.02.2014",3
"26.02.2014",3
"27.02.2014",5
"28.02.2014",6
"01.03.2014",6
"02.03.2014",6
"03.03.2014",4
"04.03.2014",7
"05.03.2014",8
"06.03.2014",4
"07.03.2014",4
"08.03.2014",4
"09.03.2014",13
"10.03.2014",10
"11.03.2014",8
"12.03.2014",8
"13.03.2014",10
"14.03.2014",10
"15.03.2014",10
"16.03.2014",10
"17.03.2014",8
"18.03.2014",7
"19.03.2014",7
"20.03.2014",7
"21.03.2014",7
"22.03.2014",7
"23.03.2014",7
"24.03.2014",7
"25.03.2014",6
"26.03.2014",20
"27.03.2014",15
"28.03.2014",15
"29.03.2014",15
"30.03.2014",15
"31.03.2014",10
"01.04.2014",10
"02.04.2014",10
"03.04.2014",10
"04.04.2014",10
"05.04.2014",10
"06.04.2014",10
"07.04.2014",10
"08.04.2014",10
"09.04.2014",12
"10.04.2014",10
"11.04.2014",10
"12.04.2014",10
"13.04.2014",10
"14.04.2014",10
"15.04.2014",10
"16.04.2014",10
"17.04.2014",10
"18.04.2014",10
"19.04.2014",10
"20.04.2014",10
"21.04.2014",12
"22.04.2014",11
"23.04.2014",10
"24.04.2014",10
"25.04.2014",10
"26.04.2014",10
"27.04.2014",10
"28.04.2014",9
"29.04.2014",9
"30.04.2014",9
"01.05.2014",9
"02.05.2014",9
"03.05.2014",8
"04.05.2014",8
"05.05.2014",8
"06.05.2014",6
"07.05.2014",5
"08.05.2014",4
"09.05.2014",11
"10.05.2014",11
"11.05.2014",11
"12.05.2014",9
"13.05.2014",6
"14.05.2014",6
"15.05.2014",6
"16.05.2014",5
"17.05.2014",5
"18.05.2014",5
"19.05.2014",6
"20.05.2014",6
"21.05.2014",5
"22.05.2014",0
"23.05.2014",0
"24.05.2014",0
"25.05.2014",0
"26.05.2014",0
"27.05.2014",0
"28.05.2014",0
"29.05.2014",0
"30.05.2014",0
"31.05.2014",0
"01.06.2014",0
"02.06.2014",0
"03.06.2014",0
"04.06.2014",0
"05.06.2014",0
"06.06.2014",0
"07.06.2014",0
"08.06.2014",0
"09.06.2014",0
"10.06.2014",0
"11.06.2014",0
"12.06.2014",0
"13.06.2014",0
"14.06.2014",0
"15.06.2014",0
"16.06.2014",0
"17.06.2014",0
"18.06.2014",0
"19.06.2014",0
"20.06.2014",0
"21.06.2014",0
"22.06.2014",0
"23.06.2014",0
"24.06.2014",0
"25.06.2014",0
"26.06.2014",0
"27.06.2014",0
"28.06.2014",0
"29.06.2014",0
"30.06.2014",0
